gridSize.x,gridSize.y,numberOfEndCondition,numberOfRounds,inicialNumberOfGimbaza,inicialNumberOfLicbaza,inicialNumberOfUczelnia,inicialNumberOfPiwo,inicialNumberOfEgzamin,inicialNumberOfPodbus,inicialNumberOfGimbus,inicialNumberOfPatus,inicialNumberOfLicbus,inicialNumberStudent,inicialNumberOfDebil,finNumberOfPodbus,finNumberOfGimbus,finNumberOfPatus,finNumberOfLicbus,finNumberStudent,finNumberOfDebil,finNumberOfPiwo,finNumberOfEgzamin
100,100,2,20,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,26,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,57,3,2,1,0, 0, 1,0,0,0,0,0,0,0,0,1,0,0,0,0
100,100,2,12,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,93,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,14,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,206,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,33,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,223,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,345,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,125,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,48,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,13,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,228,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,55,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,110,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,8,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,380,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,140,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,31,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,284,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,51,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,38,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,164,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,10,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,368,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,490,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,482,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,532,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,328,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,476,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,375,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,282,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,117,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,445,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,65,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,49,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,104,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,32,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,357,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,151,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,5,600,3,2,1,0, 0, 1,0,0,0,0,0,1,0,0,0,0,0,0,0
100,100,2,43,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,81,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,344,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,343,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,5,600,3,2,1,0, 0, 1,0,0,0,0,0,1,0,0,0,0,0,0,0
100,100,2,27,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,126,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,2,75,3,2,1,0, 0, 1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,100,5,600,3,2,1,0, 0, 10,0,0,0,0,0,1,5,0,4,0,0,72,80
